Date,Description,Debit,Credit
01-05-2023,TECHM SALARY MAY 2023,0.00,150000.00
02-05-2023,AMAZON AWS SERVICES,2500.00,0.00
03-05-2023,UBER RIDES,450.00,0.00
04-05-2023,STARBUCKS COFFEE,350.00,0.00
05-05-2023,MONTHLY HOUSE RENT,25000.00,0.00
08-05-2023,HDFC HOME LOAN EMI,35000.00,0.00
10-05-2023,NETFLIX SUBSCRIPTION,499.00,0.00
12-05-2023,SWIGGY INSTAMART GROCERIES,1200.00,0.00
15-05-2023,ZOMATO FOOD DELIVERY,800.00,0.00
18-05-2023,INDIGO AIRLINES FLIGHT MUMBAI,6500.00,0.00
20-05-2023,ZERODHA MUTUAL FUND SIP,10000.00,0.00
25-05-2023,AIRTEL BROADBAND BILL,999.00,0.00
28-05-2023,REFUND AMAZON RETURN,0.00,1200.00
29-05-2023,GYM MEMBERSHIP ANNUAL,15000.00,0.00
30-05-2023,RELIANCE FRESH SUPERMARKET,3200.00,0.00
